name,club_from,club_to
Eden Hazard,Chelsea,Real Madrid
Antoine Griezmann,Atlético Madrid,Barcelona
João Félix,Benfica,Atlético Madrid
Christian Eriksen,Tottenham,Inter
Philippe Coutinho,Barcelona,Bayern Munich
Harry Maguire,Leicester,Man Utd
Frenkie de Jong,Ajax,Barcelona
Matthijs de Ligt,Ajax,Juventus
Lucas Hernández,Atlético Madrid,Bayern Munich
Nicolas Pépé,LOSC Lille,Arsenal
Rodri,Atlético Madrid,Man City
Mauro Icardi,Inter,Paris SG
Romelu Lukaku,Man Utd,Inter
João Cancelo,Juventus,Man City
Tanguy Ndombélé,Olympique Lyon,Tottenham
Luka Jović,E. Frankfurt,Real Madrid
Bruno Fernandes,Sporting CP,Man Utd
Luka Jović,Benfica,E. Frankfurt
Nabil Fekir,Olympique Lyon,Real Betis
Aaron Wan-Bissaka,Crystal Palace,Man Utd
Éder Militão,FC Porto,Real Madrid
Sébastien Haller,E. Frankfurt,West Ham
Julian Brandt,B. Leverkusen,Bor. Dortmund
Giovani Lo Celso,Paris SG,Real Betis
Giovani Lo Celso,Real Betis,Tottenham
Ferland Mendy,Olympique Lyon,Real Madrid
Rodrygo,Santos,Real Madrid
Mateo Kovacic,Real Madrid,Chelsea
Youri Tielemans,Monaco,Leicester
Hirving Lozano,PSV Eindhoven,SSC Napoli
Konstantinos Manolas,AS Roma,SSC Napoli
Erling Haaland,RB Salzburg,Bor. Dortmund
Duván Zapata,Sampdoria,Atalanta BC
Joelinton,TSG Hoffenheim,Newcastle
Paco Alcácer,Bor. Dortmund,Villarreal
Malcom,Barcelona,Zenit S-Pb
Wissam Ben Yedder,Sevilla FC,Monaco
Moise Kean,Juventus,Everton
Pablo Sarabia,Sevilla FC,Paris SG
Maxi Gómez,Celta de Vigo,Valencia
Aaron Ramsey,Arsenal,Juventus
Ante Rebic,E. Frankfurt,AC Milan
Raúl Jiménez,Benfica,Wolves
Thorgan Hazard,Bor. M'gladbach,Bor. Dortmund
Danilo,Man City,Juventus
Paco Alcácer,Barcelona,Bor. Dortmund
Nicolò Barella,Cagliari Calcio,Inter
Benjamin Pavard,VfB Stuttgart,Bayern Munich
Jasper Cillessen,Barcelona,Valencia
Jules Koundé,G. Bordeaux,Sevilla FC
Dejan Kulusevski,Atalanta BC,Juventus
Abdou Diallo,Bor. Dortmund,Paris SG
Mats Hummels,Bayern Munich,Bor. Dortmund
Steven Bergwijn,PSV Eindhoven,Tottenham
Dani Olmo,Dinamo Zagreb,RB Leipzig
Ryan Sessegnon,Fulham,Tottenham
Marko Arnautovic,West Ham,SH SIPG
Kieran Trippier,Tottenham,Atlético Madrid
Tiemoué Bakayoko,Chelsea,Monaco
Adrien Rabiot,Paris SG,Juventus
Alexis Sánchez,Man Utd,Inter
Ayoze Pérez,Newcastle,Leicester
Franck Kessié,Atalanta BC,AC Milan
Kerem Demirbay,TSG Hoffenheim,B. Leverkusen
Krzysztof Piatek,AC Milan,Hertha BSC
Cristian Romero,Genoa,Juventus
Alex Iwobi,Arsenal,Everton
Marcos Llorente,Real Madrid,Atlético Madrid
Gelson Martins,Atlético Madrid,Monaco
