club_from,league_from,club_to,league_to
Bor. Dortmund,Bundesliga,Man City,Premier League
Benfica,Liga Portugal,Chelsea,Premier League
Ajax,Eredivisie,Man Utd,Premier League
Leicester,Premier League,Chelsea,Premier League
Monaco,Ligue 1,Real Madrid,LaLiga
Real Madrid,LaLiga,Man Utd,Premier League
Real Sociedad,LaLiga,Newcastle,Premier League
Shakhtar D.,Premier Liga,Chelsea,Premier League
Juventus,Serie A,Bayern Munich,Bundesliga
Man City,Premier League,Chelsea,Premier League
Liverpool,Premier League,Bayern Munich,Bundesliga
Chelsea,Premier League,Inter,Serie A
Man City,Premier League,Bayern Munich,Bundesliga
Brighton,Premier League,Chelsea,Premier League
Fiorentina,Serie A,Juventus,Serie A
Sevilla FC,LaLiga,Barcelona,LaLiga
PSV Eindhoven,Eredivisie,Liverpool,Premier League
Everton,Premier League,Tottenham,Premier League
Leeds,Premier League,Barcelona,LaLiga
Ajax,Eredivisie,Man Utd,Premier League
Benfica,Liga Portugal,Liverpool,Premier League
SSC Napoli,Serie A,Paris SG,Ligue 1
Man City,Premier League,Arsenal,Premier League
Atalanta BC,Serie A,Tottenham,Premier League
Leeds,Premier League,Man City,Premier League
